step,unique_count,entropy,top_freq
265000,156,4.0178,105
266000,164,4.0089,114
267000,172,4.0967,118
268000,177,4.1526,111
269000,182,4.1173,122
270000,186,4.2259,110
271000,169,4.1932,102
272000,167,4.1648,100
273000,159,4.0672,114
274000,158,3.9928,127
275000,166,3.9671,116
276000,161,4.0683,119
277000,151,3.9639,132
278000,161,4.0202,127
279000,160,4.0896,122
280000,182,4.1125,124
281000,180,4.1577,123
282000,168,4.0996,108
283000,178,4.2194,94
284000,161,4.0918,101
285000,182,4.1443,99
286000,169,3.9888,102
287000,152,3.9041,113
288000,173,3.9777,138
289000,181,4.0933,129
290000,181,4.1111,129
291000,178,4.1754,115
292000,168,4.1857,97
293000,169,4.1670,95
294000,179,4.0961,112
295000,166,4.0424,100
296000,173,3.9576,107
297000,153,3.8442,125
298000,155,3.8900,103
299000,169,3.9609,103
300000,172,4.0277,118
301000,163,3.9119,101
302000,149,3.7842,112
303000,159,3.9651,116
304000,165,4.1114,98
305000,176,4.1243,101
306000,178,4.0629,126
307000,175,4.0731,112
308000,173,4.0418,118
309000,165,4.0531,102
310000,153,3.9819,101
311000,146,3.9207,99
312000,158,3.9312,116
313000,154,3.9317,102
314000,150,3.9396,111
315000,146,3.8658,111
316000,145,3.7899,112
317000,146,3.7460,117
318000,138,3.7434,123
319000,144,3.7862,125
320000,150,3.8347,128
321000,170,3.9525,128
322000,171,4.0121,127
323000,165,4.0050,131
324000,178,4.0538,131
325000,178,4.1386,110
326000,172,4.1460,120
327000,181,4.1144,137
328000,196,4.2193,120
329000,194,4.2559,115
330000,179,4.1304,133
331000,196,4.2773,113
332000,178,4.1306,113
333000,168,4.1129,119
334000,177,4.1593,120
335000,173,4.1940,103
336000,170,4.0596,111
337000,157,3.9334,115
338000,142,3.9035,103
339000,153,3.8990,113
340000,158,3.8183,127
341000,153,3.8143,140
342000,154,3.8864,135
343000,150,3.9108,139
344000,167,4.0496,121
345000,166,4.1177,115
346000,169,4.1537,101
347000,148,3.9607,118
348000,149,3.9604,131
349000,165,4.0402,119
350000,171,4.0603,111
351000,180,4.1351,127
352000,183,4.1638,118
353000,186,4.1052,128
354000,177,4.0029,128
355000,167,3.9884,118
356000,159,4.0376,122
357000,156,4.0849,97
358000,156,4.0459,107
359000,146,3.9955,109
360000,139,3.9143,99
361000,137,3.8718,117
362000,140,3.7802,142
363000,148,3.7489,150
364000,166,3.9283,141
365000,166,4.0210,122
366000,167,4.0189,111
367000,169,4.0351,122
368000,165,3.9814,115
369000,157,3.9146,120
370000,174,4.0288,121
371000,176,3.9878,114
372000,171,3.9909,116
373000,167,4.0882,97
374000,164,4.0098,114
375000,162,4.0070,101
376000,160,4.0209,105
377000,149,3.9814,106
378000,148,3.9124,112
379000,148,3.8862,110
380000,146,3.8582,103
381000,129,3.8161,91
382000,127,3.7534,96
383000,126,3.6643,117
384000,118,3.6443,120
385000,131,3.7823,108
386000,120,3.7483,125
387000,131,3.7033,142
388000,144,3.8156,122
389000,143,3.8973,120
390000,162,3.9925,123
391000,172,4.0709,102
392000,146,3.9002,110
393000,152,3.9149,109
394000,149,3.8194,106
395000,146,3.8312,118
396000,148,3.8869,105
397000,140,3.8757,119
398000,142,3.9063,124
399000,157,4.0602,119
400000,157,4.0569,123
401000,148,3.9865,117
402000,154,3.9338,111
403000,139,3.8069,110
404000,141,3.6717,122
405000,148,3.7532,131
406000,145,3.7089,133
407000,147,3.7428,122
408000,159,3.8620,142
409000,152,3.8883,135
410000,150,3.9231,113
411000,136,3.8036,117
412000,153,3.8233,123
413000,136,3.7540,136
414000,154,3.8824,130
415000,154,3.8070,130
416000,144,3.8739,118
417000,152,3.9279,107
418000,145,3.8849,103
419000,138,3.8305,110
420000,140,3.7877,128
421000,154,3.8684,110
422000,146,3.8876,99
423000,149,3.7716,108
424000,141,3.7723,125
425000,160,3.8777,132
426000,145,3.8141,139
427000,146,3.8544,119
428000,136,3.8278,127
429000,137,3.8182,120
430000,151,3.8010,123
431000,155,3.7886,120
432000,150,3.8084,127
433000,149,3.7752,116
434000,135,3.7719,120
435000,139,3.7356,107
436000,128,3.6029,105
437000,144,3.7176,112
438000,146,3.7131,111
439000,148,3.6900,137
440000,150,3.7562,117
441000,135,3.7266,109
442000,144,3.7575,117
443000,144,3.7417,116
444000,127,3.5883,126
445000,126,3.6129,129
446000,125,3.6137,117
447000,125,3.6056,114
448000,126,3.6336,119
449000,134,3.7010,117
450000,130,3.7478,113
451000,139,3.7231,105
452000,137,3.7436,113
453000,129,3.7275,113
454000,116,3.6278,102
455000,112,3.5188,122
456000,113,3.5792,123
457000,112,3.5288,143
458000,112,3.5176,130
459000,128,3.5416,124
460000,126,3.5454,142
461000,131,3.6525,139
462000,137,3.6571,108
463000,132,3.6766,122
464000,127,3.6674,128
465000,123,3.6885,139
466000,115,3.6230,134
467000,120,3.6692,122
468000,115,3.7258,142
469000,129,3.7527,126
470000,125,3.6811,117
471000,118,3.5649,124
472000,119,3.5659,142
473000,127,3.6682,136
474000,127,3.7282,131
475000,142,3.8360,122
476000,150,3.9082,133
477000,146,3.9103,124
478000,149,3.8880,123
479000,157,3.9098,136
480000,166,3.9849,129
481000,158,4.0244,145
482000,184,4.1741,138
483000,200,4.2277,123
484000,175,4.0279,120
485000,173,4.0469,103
486000,183,4.0452,121
487000,181,4.0923,124
488000,171,4.0097,138
489000,165,4.0520,140
490000,190,4.2513,113
491000,181,4.1427,124
492000,185,4.1741,112
493000,173,4.1532,109
494000,179,4.1351,116
495000,177,4.2001,122
496000,179,4.2177,120
497000,165,4.1209,118
498000,195,4.2171,122
499000,200,4.2557,120
500000,189,4.1497,156
501000,216,4.2926,142
502000,194,4.2895,119
503000,205,4.3710,111
504000,204,4.4096,109
505000,199,4.4221,101
506000,193,4.4176,105
507000,190,4.3528,95
508000,177,4.2431,103
509000,182,4.2181,122
510000,184,4.1663,128
511000,174,4.1315,113
512000,167,4.0853,98
513000,168,4.0692,128
514000,156,4.0122,123
515000,174,4.0404,149
516000,177,4.0972,145
517000,189,4.2007,138
518000,207,4.3094,119
519000,203,4.3158,119
520000,205,4.2733,116
521000,192,4.2222,123
522000,202,4.3775,104
523000,196,4.2784,109
524000,180,4.2278,103
525000,169,4.1301,117
526000,178,4.0932,123
527000,182,4.1908,116
528000,179,4.1229,131
529000,181,4.1292,123
530000,188,4.1266,108
531000,183,4.0990,108
532000,209,4.1527,141
533000,205,4.1932,141
534000,222,4.3547,140
535000,240,4.5253,102
536000,213,4.3765,103
537000,206,4.2021,135
538000,204,4.2438,146
539000,204,4.3133,119
540000,230,4.4722,121
541000,226,4.5388,106
542000,220,4.5079,105
543000,219,4.4172,118
544000,213,4.3948,123
545000,209,4.4183,121
546000,212,4.5009,99
547000,207,4.4896,88
548000,202,4.5262,95
549000,195,4.5037,90
550000,188,4.4266,73
551000,184,4.3240,94
552000,169,4.2164,105
553000,183,4.3162,97
554000,175,4.1812,93
555000,168,4.1487,96
556000,162,4.0701,97
557000,161,4.1238,103
558000,170,4.0944,95
559000,162,4.0600,115
560000,157,4.1331,99
561000,168,4.1056,102
562000,171,4.1096,119
563000,163,4.0754,115
564000,164,4.0871,121
565000,166,4.0787,111
566000,159,3.9779,130
567000,166,3.9949,132
568000,171,4.0333,141
569000,163,4.0482,138
570000,169,4.2126,120
571000,166,4.1471,118
572000,161,4.1240,109
573000,161,4.0794,118
574000,155,4.0142,116
575000,159,4.0198,127
576000,166,4.1342,119
577000,158,4.1172,106
578000,162,4.1884,119
579000,166,4.1754,115
580000,164,4.1151,117
581000,158,4.0996,114
582000,159,4.1135,132
583000,168,4.1983,112
584000,157,4.1255,117
585000,164,4.0647,131
586000,160,3.9902,140
587000,172,4.1344,126
588000,161,4.1317,106
589000,158,4.0593,110
590000,162,4.0795,112
591000,165,4.0095,118
592000,154,3.9803,137
593000,168,4.1629,105
594000,158,4.0828,95
595000,168,4.1022,98
596000,147,3.9357,119
597000,157,3.9670,96
598000,152,3.9387,77
599000,133,3.7717,83
600000,134,3.6893,105
601000,157,3.7639,126
602000,159,3.8116,102
603000,156,3.8249,107
604000,160,3.8317,106
605000,138,3.7584,102
606000,128,3.6512,101
607000,145,3.7657,113
608000,131,3.7010,106
609000,139,3.7724,121
610000,143,3.7874,129
611000,151,3.8055,130
612000,163,3.8894,137
613000,150,3.9303,118
614000,159,3.9680,112
615000,161,3.9927,118
616000,167,4.1296,105
617000,169,4.1421,103
618000,167,4.0725,112
619000,162,4.0577,109
620000,162,4.0919,109
621000,172,4.1242,129
622000,158,4.1264,117
623000,154,4.1244,107
624000,158,4.1441,99
625000,161,4.0873,98
626000,157,4.0162,95
627000,156,3.9727,101
628000,154,3.9825,119
629000,168,4.1126,103
630000,159,3.9913,105
631000,155,4.0034,109
632000,156,3.9439,105
633000,149,3.8333,108
634000,156,3.8280,106
635000,134,3.8399,110
636000,136,3.8416,110
637000,142,3.8876,118
638000,119,3.7298,111
639000,122,3.6720,116
640000,131,3.7438,125
641000,140,3.8924,110
642000,150,3.9478,102
643000,138,3.8611,100
644000,121,3.6627,127
645000,114,3.7109,139
